13055.62	2005	9	29	15	0	1.788	202.5
13055.67	2005	9	29	16	0	2.235	225
13055.71	2005	9	29	17	0	2.235	225
13055.75	2005	9	29	18	0	1.341	202.5
13055.79	2005	9	29	19	0	1.788	225
13055.83	2005	9	29	20	0	0.894	202.5
13055.88	2005	9	29	21	0	0.894	225
13055.92	2005	9	29	22	0	0.447	202.5
13055.96	2005	9	29	23	0	0	247.5
13056	2005	9	30	0	0	0	270
13056.04	2005	9	30	1	0	1.341	0
13056.08	2005	9	30	2	0	0.894	90
13056.12	2005	9	30	3	0	0.447	90
13056.17	2005	9	30	4	0	0	112.5
13056.21	2005	9	30	5	0	0	22.5
13056.25	2005	9	30	6	0	0.447	0
13056.29	2005	9	30	7	0	0	0
13056.33	2005	9	30	8	0	0	22.5
13056.38	2005	9	30	9	0	0	0
13056.42	2005	9	30	10	0	0	337.5
13056.46	2005	9	30	11	0	0.894	0
13056.5	2005	9	30	12	0	0.447	0
13056.54	2005	9	30	13	0	1.341	112.5
13056.58	2005	9	30	14	0	1.341	0
13056.62	2005	9	30	15	0	2.235	112.5
13056.67	2005	9	30	16	0	4.023	112.5
13056.71	2005	9	30	17	0	2.682	112.5
13056.75	2005	9	30	18	0	2.682	90
13056.79	2005	9	30	19	0	1.341	90
13056.83	2005	9	30	20	0	0.447	112.5
13056.88	2005	9	30	21	0	0.447	112.5
13056.92	2005	9	30	22	0	0	112.5
13056.96	2005	9	30	23	0	0	0
13057	2005	10	1	0	0	0	-99.9
13057.04	2005	10	1	1	0	0	202.5
13057.08	2005	10	1	2	0	0	202.5
13057.12	2005	10	1	3	0	0.447	225
13057.17	2005	10	1	4	0	0	112.5
13057.21	2005	10	1	5	0	0	270
13057.25	2005	10	1	6	0	0	270
13057.29	2005	10	1	7	0	0.447	202.5
13057.33	2005	10	1	8	0	0	135
13057.38	2005	10	1	9	0	0	112.5
13057.42	2005	10	1	10	0	0.447	135
13057.46	2005	10	1	11	0	0.894	112.5
13057.5	2005	10	1	12	0	1.788	112.5
13057.54	2005	10	1	13	0	0.894	112.5
13057.58	2005	10	1	14	0	1.341	112.5
13057.62	2005	10	1	15	0	0.894	90
