"lon"	"lat"	"2016100100000"	"2016100100300"	"2016100101000"	"2016100101300"	"2016100102000"	"2016100102300"	"2016100103000"	"2016100103300"	"2016100104000"	"2016100104300"	"2016100105000"	"2016100105300"	"2016100106000"	"2016100106300"	"2016100107000"	"2016100107300"	"2016100108000"	"2016100108300"	"2016100109000"	"2016100109300"	"2016100110000"	"2016100110300"	"2016100111000"	"2016100111300"	"2016100112000"	"2016100112300"	"2016100113000"	"2016100113300"	"2016100114000"	"2016100114300"	"2016100115000"	"2016100115300"	"2016100116000"	"2016100116300"	"2016100117000"	"2016100117300"	"2016100118000"	"2016100118300"	"2016100119000"	"2016100119300"	"2016100120000"	"2016100120300"	"2016100121000"	"2016100121300"	"2016100122000"	"2016100122300"	"2016100123000"	"2016100123300"
9.8	44.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031868	0.00479048	0.00749109	0.0100628	0.0128641	0.0063359	0	0.0775506	0.148684	0.389108	0.869437	1.10201	1.32283	1.5584	1.73237	1.28253	0.953661	0.547427	0.377279	0	0.407364	0.613444	0.688954	0.851407	1.05809	1.23924	4.00286	6.68506	6.5285	5.47498	4.35105	3.10035	1.79575	0.948121
9.8	44.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00386646	0.00581216	0.00908875	0.012209	0.0156077	0.00768718	0	0.0551965	0.105825	0.276947	0.784266	0.784356	0.954521	1.10919	1.23301	0.996594	0.769836	0.574765	0.520839	0.32256	0.905248	0.906537	0.89387	0.845838	0.909317	0.91045	1.9322	2.92385	2.85537	2.62332	2.05294	1.356	0.785406	0.41468
9.8	44.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0582251	0.111632	0.318597	0.793457	0.827394	0.997411	1.17005	1.30067	0.962924	0.675513	0.405644	0.283262	0	1.05774	1.77739	2.1665	2.76623	3.33014	3.96273	3.43109	2.91511	2.84684	2.66923	2.07692	1.3918	0.78306	0.413441
9.9	43.9	0	0	0	0	0	0	0.0438019	0.0461057	0.06	0.0348988	0.0276126	0.0212125	0	0	0	0	0	0	0	0	0	0.35754	0.447938	0.823815	1.07847	1.29811	1.39435	1.54026	1.63	2.39382	2.51495	2.96246	3.29008	3.99	9.97	8.42599	7.84882	6.50607	5.90344	1.38	1.30618	1.24	1.01748	0.795866	0.581337	0.350119	0.183053	0.134263
9.9	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119934	0.229944	0.601768	1.13352	1.7043	2.04289	2.41012	2.67917	2.19248	1.87597	1.30704	1.21308	0.804899	3.25984	2.61893	1.978	1.4432	1.23605	0.672666	0.707677	0.741657	0.724288	0.594764	0.480786	0.343961	0.199225	0.105187
9.9	44.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126724	0.242962	0.635836	1.20668	1.80078	2.15855	2.54656	2.83084	2.2945	1.92723	1.33119	1.21519	0.765375	1.90819	1.59262	1.2737	0.971641	0.911718	0.634317	1.09189	1.53599	1.50002	1.23177	0.995721	0.712352	0.412599	0.217845
9.9	44.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0819749	0.157166	0.411307	0.857025	1.16488	1.39733	1.64731	1.8312	1.41375	1.03484	0.702067	0.573689	0.223577	1.98558	1.71788	1.46649	1.15137	1.14027	0.904955	1.9315	2.92779	2.85923	2.34791	1.89797	1.35783	0.786466	0.41524
9.9	44.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00702524	0.0134691	0.035249	0.246711	0.0998304	0.12549	0.141174	0.156934	0.449215	0.583151	0.800199	1.03739	1.28253	1.52605	1.3826	1.27725	1.03359	1.0731	0.947014	2.00156	3.02503	2.95419	2.42589	1.96101	1.40293	0.812587	0.429031
10	43.9	0	0	0	0	0	0	0.0438019	0.0461057	0.06	0.0348988	0.0276126	0.0212125	0	0	0	0	0	0	0	0	0	0.35754	0.447938	0.823815	1.07847	1.29811	1.39435	1.54026	1.63	2.39382	2.51495	2.96246	3.29008	3.99	9.97	8.42599	7.84882	6.50607	5.90344	1.38	1.30618	1.24	1.01748	0.795866	0.581337	0.350119	0.183053	0.134263
10	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119934	0.229944	0.601768	1.13352	1.7043	2.04289	2.41012	2.67917	2.19248	1.87597	1.30704	1.21308	0.804899	3.25984	2.61893	1.978	1.4432	1.23605	0.672666	0.707677	0.741657	0.724288	0.594764	0.480786	0.343961	0.199225	0.105187
