Arpae-SIMC

Bologna urbana
Inizio validità (UTC),Fine validità (UTC),Irradianza globale visibile media oraria - componente dall'alto (W/M**2)
2015-12-02 15:00:00+00:00,2015-12-02 16:00:00+00:00,7
2015-12-02 16:00:00+00:00,2015-12-02 17:00:00+00:00,-1
2015-12-02 17:00:00+00:00,2015-12-02 18:00:00+00:00,-2
2015-12-02 18:00:00+00:00,2015-12-02 19:00:00+00:00,-2
2015-12-02 19:00:00+00:00,2015-12-02 20:00:00+00:00,-1
2015-12-02 20:00:00+00:00,2015-12-02 21:00:00+00:00,0
2015-12-02 21:00:00+00:00,2015-12-02 22:00:00+00:00,-1
2015-12-02 22:00:00+00:00,2015-12-02 23:00:00+00:00,-2
2015-12-02 23:00:00+00:00,2015-12-03 00:00:00+00:00,-3
2015-12-03 00:00:00+00:00,2015-12-03 01:00:00+00:00,-1
2015-12-03 01:00:00+00:00,2015-12-03 02:00:00+00:00,-13
2015-12-03 02:00:00+00:00,2015-12-03 03:00:00+00:00,-9
2015-12-03 03:00:00+00:00,2015-12-03 04:00:00+00:00,-12
2015-12-03 04:00:00+00:00,2015-12-03 05:00:00+00:00,-9
2015-12-03 05:00:00+00:00,2015-12-03 06:00:00+00:00,-2
2015-12-03 06:00:00+00:00,2015-12-03 07:00:00+00:00,12
2015-12-03 07:00:00+00:00,2015-12-03 08:00:00+00:00,66
2015-12-03 08:00:00+00:00,2015-12-03 09:00:00+00:00,110
2015-12-03 09:00:00+00:00,2015-12-03 10:00:00+00:00,
2015-12-03 10:00:00+00:00,2015-12-03 11:00:00+00:00,
2015-12-03 11:00:00+00:00,2015-12-03 12:00:00+00:00,
2015-12-03 12:00:00+00:00,2015-12-03 13:00:00+00:00,
2015-12-03 13:00:00+00:00,2015-12-03 14:00:00+00:00,153
2015-12-03 14:00:00+00:00,2015-12-03 15:00:00+00:00,73
2015-12-03 15:00:00+00:00,2015-12-03 16:00:00+00:00,6
2015-12-03 16:00:00+00:00,2015-12-03 17:00:00+00:00,-4
2015-12-03 17:00:00+00:00,2015-12-03 18:00:00+00:00,-1
2015-12-03 18:00:00+00:00,2015-12-03 19:00:00+00:00,2
2015-12-03 19:00:00+00:00,2015-12-03 20:00:00+00:00,0
2015-12-03 20:00:00+00:00,2015-12-03 21:00:00+00:00,0
2015-12-03 21:00:00+00:00,2015-12-03 22:00:00+00:00,2
2015-12-03 22:00:00+00:00,2015-12-03 23:00:00+00:00,0
2015-12-03 23:00:00+00:00,2015-12-04 00:00:00+00:00,0



Nome della stazione,Rete di misura,Comune,Provincia,Regione,Nazione,Altezza (Metri sul livello del mare),Longitudine (Gradi Centesimali),Latitudine (Gradi Centesimali),Bacino
Bologna urbana,urbane,BOLOGNA,BOLOGNA,EMILIA-ROMAGNA,ITALY,78.0,11.328789,44.500754,NAVILE - SAVENA ABBANDONATO


Nome della variabile,Unita' di misura
Irradianza globale visibile media oraria - componente dall'alto,W/M**2
